ProductId,Gender,Category,SubCategory,ProductType,Colour,ProductTitle,ImageURL
42419,Girls,Apparel,Topwear,Tops,White,Gini and Jony Girls Knit White Top,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg
34009,Girls,Apparel,Topwear,Tops,Black,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg
40143,Girls,Apparel,Topwear,Tops,Blue,Gini and Jony Girls Pretty Blossom Blue Top,http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg
23623,Girls,Apparel,Topwear,Tops,Pink,Doodle Kids Girls Pink I love Shopping Top,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg
47154,Girls,Apparel,Bottomwear,Capris,Black,Gini and Jony Girls Black Capris,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg
25520,Girls,Apparel,Topwear,Tops,White,Doodle Kids Girls City Chic White Top,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg
31120,Girls,Apparel,Topwear,Tops,Pink,Palm Tree Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg
31118,Girls,Apparel,Topwear,Tops,Red,Gini and Jony Girls Red Top,http://assets.myntassets.com/v1/images/style/properties/1e3b40d501f5fbbceeab3879db474932_images.jpg
54923,Girls,Apparel,Bottomwear,Capris,Olive,Do u speak Green Girls Olive 3/4 Pant,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg
31127,Girls,Apparel,Dress,Dresses,Black,Gini and Jony Girls Black Dress,http://assets.myntassets.com/v1/images/style/properties/1f7c87ee0ac12c35df8c1dd28e2cd692_images.jpg
47153,Girls,Apparel,Bottomwear,Capris,Pink,Gini and Jony Girls Pink Capris,http://assets.myntassets.com/v1/images/style/properties/87321ab7962a30b2e9b01fa16997029c_images.jpg
40144,Girls,Apparel,Topwear,Tops,Pink,Gini and Jony Girls Pretty Blossom Pink Top,http://assets.myntassets.com/v1/images/style/properties/1397081a5a637d539b0197aae4a6855e_images.jpg
23624,Girls,Apparel,Topwear,Tops,White,Doodle Kids Girls White I love Shopping Top,http://assets.myntassets.com/v1/images/style/properties/5ab7fb83e0891f3453746c9a073e3ec6_images.jpg
34693,Girls,Apparel,Bottomwear,Shorts,Pink,Allen Solly Kids Girls Poplin Pink Shorts,http://assets.myntassets.com/v1/images/style/properties/c8c6fd3233823726f484da6b7007f016_images.jpg
4718,Girls,Apparel,Topwear,Tshirts,Yellow,Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/1109685531795f17aca2acaba2ab39ad_images.jpg
36750,Girls,Apparel,Dress,Dresses,Navy Blue,Little Miss Girls Chatterbox Navy Blue Dress,http://assets.myntassets.com/v1/images/style/properties/0d3b2725d327a275c52c6f999e3982eb_images.jpg
34007,Girls,Apparel,Topwear,Tops,Pink,Gini and Jony Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/6e0a7cc4e1d472f99d820275fe5f7679_images.jpg
31129,Girls,Apparel,Dress,Dresses,Magenta,Giny and Jony Girls Printed White & Pink Dress,http://assets.myntassets.com/v1/images/style/properties/3a4faa7c017c3ea1e8df9c887b929d50_images.jpg
4720,Girls,Apparel,Topwear,Tshirts,Yellow,Disney Kids Girl's Fun In The Fair Yellow Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/4c35804275294e78210e4dcf86686652_images.jpg
17612,Girls,Apparel,Topwear,Tshirts,Grey,Doodle Cute Girls  Grey Tshirt,http://assets.myntassets.com/v1/images/style/properties/7fc0dc0e751be847d706620fdd3802f7_images.jpg
50723,Girls,Apparel,Dress,Dresses,Blue,Doodle Girls Blue Printed Dress,http://assets.myntassets.com/v1/images/style/properties/9fa6bd6c5b841804bdee04460ee934de_images.jpg
33271,Girls,Apparel,Bottomwear,Skirts,Red,Gini and Jony Girls Red Skirt,http://assets.myntassets.com/v1/images/style/properties/87725859164f90b1c366659f2f381238_images.jpg
41007,Girls,Apparel,Bottomwear,Shorts,Navy Blue,Gini and Jony Girls Woven Navy Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/7195b148c3b6b41cf4ad730cbe7abbcb_images.jpg
46813,Girls,Apparel,Bottomwear,Skirts,Pink,Gini and Jony Girls Pink Skirt,http://assets.myntassets.com/v1/images/style/properties/167c8880c4c77718ac8e2ecdf57e619c_images.jpg
41000,Girls,Apparel,Bottomwear,Shorts,Blue,Gini and Jony Girls Woven Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/4882420c3607228a30540b5b99aba1d4_images.jpg
8378,Girls,Apparel,Topwear,Tshirts,Green,Doodle Girl's Princess Lime Kidswear,http://assets.myntassets.com/v1/images/style/properties/3877b9da648c16c969b043643426be71_images.jpg
39328,Girls,Apparel,Bottomwear,Shorts,Green,Gini and Jony Girls Green Shorts,http://assets.myntassets.com/v1/images/style/properties/7ed1ca17fdfdefdd6320156fe7ea7292_images.jpg
50724,Girls,Apparel,Dress,Dresses,Blue,Doodle Girls Blue Washed Dress,http://assets.myntassets.com/v1/images/style/properties/8f184224331047aa5fc5b0041b04dc53_images.jpg
46814,Girls,Apparel,Bottomwear,Skirts,Pink,Gini and Jony Girls Pink Skirt,http://assets.myntassets.com/v1/images/style/properties/4e26ee06c517e6f227ca6af3653f0f6b_images.jpg
29171,Girls,Apparel,Bottomwear,Skirts,Blue,United Colors of Benetton Kids Girls Washed Blue Skirt,http://assets.myntassets.com/v1/images/style/properties/552488b55aa1c615f830fd043f570d15_images.jpg
34065,Girls,Apparel,Dress,Dresses,Black,Gini and Jony Girls Black Dress,http://assets.myntassets.com/v1/images/style/properties/f7b69b3f5edf05058f33e21ebe87275f_images.jpg
31173,Girls,Apparel,Topwear,Tops,White,Gini and Jony Girls Printed White Top,http://assets.myntassets.com/v1/images/style/properties/1a925d00403aaec9fb6aa68e6795bf22_images.jpg
34091,Girls,Apparel,Topwear,Tops,Grey,Doodle Girls Printed Grey Top,http://assets.myntassets.com/v1/images/style/properties/139e4ecbd8fc116fd275528d755d55bf_images.jpg
8371,Girls,Apparel,Topwear,Tshirts,Yellow,Doodle Girl's Dont Worry Hippie Yellow Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/7918b015029fad3d8108d7f07a5867e2_images.jpg
39321,Girls,Apparel,Bottomwear,Capris,Blue,Gini and Jony Girls Blue Capris,http://assets.myntassets.com/v1/images/style/properties/fc46e80450a58114f02060a2cbbca0aa_images.jpg
41009,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Gini and Jony Girls Woven Navy Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/da1db8f5cb461e5eb02172804792e598_images.jpg
8385,Girls,Apparel,Topwear,Tshirts,Orange,Doodle Girl's Hippie Chic Orange Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/68540a8389d1a4a474037492a3e8cf15_images.jpg
37613,Girls,Apparel,Topwear,Tshirts,Purple,Madagascar3 Girls Purple Printed T-Shirt,http://assets.myntassets.com/v1/images/style/properties/7f4dd2f3bd1ade35ab96afabf9d55558_images.jpg
31180,Girls,Apparel,Bottomwear,Leggings,White,Gini and Jony Kids Leggings,http://assets.myntassets.com/v1/images/style/properties/Gini-and-Jony-Kids-Leggings_35bdb4375745e793689def76857d3950_images.jpg
31174,Girls,Apparel,Topwear,Tops,Red,Gini and Jony Girls Red Top,http://assets.myntassets.com/v1/images/style/properties/2b8a45322790bea5db64fc46b8d93f8f_images.jpg
34062,Girls,Apparel,Dress,Dresses,Pink,Gini and Jony Girls Printed Pink Dress,http://assets.myntassets.com/v1/images/style/properties/6e4f3854eb7b77188e914ee94bce4758_images.jpg
40128,Girls,Apparel,Topwear,Tops,Orange,Gini and Jony Girls Roseatte Orange Top,http://assets.myntassets.com/v1/images/style/properties/90cf8ee58032dbda3bb4f048621eb015_images.jpg
8382,Girls,Apparel,Topwear,Tshirts,Blue,Doodle Girl's Raw Edges Light Blue Kidswear,http://assets.myntassets.com/v1/images/style/properties/52f6936ed0d2fa4736209c5a24e26081_images.jpg
39326,Girls,Apparel,Bottomwear,Leggings,Black,Gini and Jony Girls Black Leggings,http://assets.myntassets.com/v1/images/style/properties/359391f6a4b560ca2821952c86f2528d_images.jpg
31128,Girls,Apparel,Dress,Dresses,Blue,Gini and Jony Girls Printed Teal Dress,http://assets.myntassets.com/v1/images/style/properties/73bdd9b109c5648fb93b144ebc338f94_images.jpg
31117,Girls,Apparel,Topwear,Tops,White,Gini and Jony Girls White Top,http://assets.myntassets.com/v1/images/style/properties/63e4f7008a21ad52e8e004ec132987dd_images.jpg
4719,Girls,Apparel,Topwear,Tshirts,White,Disney Kids Girl's Fun In The Fair White Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/e3cf45e69f2094c323a28af4369c903e_images.jpg
38290,Girls,Apparel,Topwear,Tops,Turquoise Blue,Kids Ville Girls Turquoise Blue Top,http://assets.myntassets.com/v1/images/style/properties/02012c4736e7a3cae2bab8857fa62b33_images.jpg
36751,Girls,Apparel,Topwear,Tops,White,Little Miss Girls Blah White Top,http://assets.myntassets.com/v1/images/style/properties/d3065a1272f7f6f77a002f5a640601d4_images.jpg
34006,Girls,Apparel,Topwear,Tops,Purple,Gini and Jony Girls Purple Top,http://assets.myntassets.com/v1/images/style/properties/5c2900e691bb0b900efbb994abaa3051_images.jpg
40946,Girls,Apparel,Topwear,Tops,Navy Blue,Gini and Jony Girls Nautical Blues Navy Blue Top,http://assets.myntassets.com/v1/images/style/properties/4fac53e9b5424ee2f2b1654edefcf9f3_images.jpg
31119,Girls,Apparel,Topwear,Tops,Purple,Gini and Jony Girls Purple Top,http://assets.myntassets.com/v1/images/style/properties/78697e51fc64e69ef59fec8e4a98bb02_images.jpg
40145,Girls,Apparel,Bottomwear,Capris,Pink,Gini and Jony Girls Kinky Pink Capris,http://assets.myntassets.com/v1/images/style/properties/aeaa25e22521dccc8ba43a44b5bdbdb4_images.jpg
23625,Girls,Apparel,Topwear,Tops,Pink,Doodle Kids Girls Pink Retro Top,http://assets.myntassets.com/v1/images/style/properties/b222e8d07fb08047514b355c4f0d1659_images.jpg
31126,Girls,Apparel,Dress,Dresses,White,Gini and Jony Girls White Dress,http://assets.myntassets.com/v1/images/style/properties/97c4ba68f6dd479533fd38fa8224ebf9_images.jpg
34008,Girls,Apparel,Topwear,Tops,Pink,Gini and Jony Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/bdb2509ab5b31e6e6fde3f1f1e28f5bf_images.jpg
40941,Girls,Apparel,Topwear,Tops,Pink,Gini and Jony Girls Pretty Pink Top,http://assets.myntassets.com/v1/images/style/properties/bc025ebc8384d35559c6681c218a8760_images.jpg
42418,Girls,Apparel,Topwear,Tops,White,Gini and Jony Girls Woven White Top,http://assets.myntassets.com/v1/images/style/properties/b6aa4b14ce628ef9d3f2f4d981c2f6b9_images.jpg
31121,Girls,Apparel,Topwear,Tops,Black,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/5d35f521e49a9e78f991111b452d4929_images.jpg
4717,Girls,Apparel,Topwear,Tshirts,Pink,Disney Kids Girl's Summer Fun Fair Pink Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/07f7ac42151631746bc3632870a7bf7c_images.jpg
31175,Girls,Apparel,Topwear,Tops,Magenta,Gini and Jony Girls Purple Top,http://assets.myntassets.com/v1/images/style/properties/ae2aa3cbe84c23ad0f1b15b80b4e0f09_images.jpg
34063,Girls,Apparel,Dress,Dresses,Pink,Gini and Jony Girls Printed Pink Dress,http://assets.myntassets.com/v1/images/style/properties/1c6f5c73e5094eedd4c405f6d9cb2e53_images.jpg
